Neighbourhood,NID,BCS,CCS,DineSafe,FemFertil,HealthProviders,PremMort,StudentNutrition
Runnymede-Bloor West Village,89,62.76,73.77,2,52.36220472,24,224.1,360
Junction Area,90,54.95,64.68,1,47.77921518,9,257.1,80
Weston-Pellam Park,91,56.66,61.93,0,45.95274007,6,236.7,1638
Corso Italia-Davenport,92,60.99,64.17,2,41.79620035,52,174.2,960
Dovercourt-Wallace Emerson-Juncti,93,58.41,62.86,22,42.56825076,27,216.4,1934
Wychwood,94,61.35,67.12,7,38.85088919,35,207.6,130
Annex,95,61.06,65.1,35,25.44437787,198,231,430
Casa Loma,96,68.88,68.26,5,29.78723404,77,166.5,0
Yonge-St.Clair,97,70.1,71.8,14,29.69885774,56,142,0
Rosedale-Moore Park,98,67.82,71.59,19,27.99736495,40,133.7,0
Mount Pleasant East,99,68.05,75.37,55,50.53892216,47,170.3,15
Yonge-Eglinton,100,66.34,73.88,9,42.58962012,62,160.6,280
Forest Hill South,101,71.33,71.29,3,28.93309222,25,150.5,0
Forest Hill North,102,67.09,70.29,3,40.42950514,12,152.1,0
Lawrence Park South,103,72.6,77.01,0,39.46459413,7,128.4,0
Mount Pleasant West,104,61.25,67.72,21,24.55706634,135,191.6,333
Lawrence Park North,105,68.7,76.86,8,63.34716459,54,175.7,0
Humewood-Cedarvale,106,63.49,69.42,1,40.07662835,10,157.8,100
Oakwood Village,107,59.48,62.36,20,49.22173275,9,229,1443
Briar Hill-Belgravia,108,59.82,60.08,16,44.25216316,30,182.2,190
Caledonia-Fairbank,109,59.85,62.95,2,44.75853946,1,233.8,1010
Keelesdale-Eglinton West,110,56.84,61.42,3,47.92368126,13,209.5,1385
Rockcliffe-Smythe,111,60.03,62.59,0,51.85185185,12,262.5,2505
Beechborough-Greenbrook,112,59.9,63.34,1,54.28051002,7,297.7,450
Weston,113,56.64,62.27,4,63.50995866,49,322.2,1105
Lambton Baby Point,114,63.38,71.69,0,45.30120482,7,183.5,120
Mount Dennis,115,55.49,60.13,1,54.48628545,6,232.3,1960
Steeles,116,68.59,65.21,13,39.00156006,9,143.8,0
